word,care_hlcts,fairness_hlcts,loyalty_hlcts,authority_hlcts,sanctity_hlcts,total_seen,seen_care,seen_fairness,seen_loyalty,seen_authority,seen_sanctity,care_pos,care_neg,care_neu,care_sent,fairness_pos,fairness_neg,fairness_neu,fairness_sent,loyalty_pos,loyalty_neg,loyalty_neu,loyalty_sent,authority_pos,authority_neg,authority_neu,authority_sent,sanctity_pos,sanctity_neg,sanctity_neu,sanctity_sent,avg_pos,avg_neg,avg_neu,sum_hl,care_p,fairness_p,loyalty_p,authority_p,sanctity_p,ind_vader,ind_comp,tag,care.virtue,fairness.virtue,loyalty.virtue,authority.virtue,sanctity.virtue,care.vice,fairness.vice,loyalty.vice,authority.vice,sanctity.vice,foundation
accepting,1.0,6.0,3.0,3.0,3.0,151.0,22.0,26.0,36.0,35.0,32.0,0.41,0.29,0.3,0.0516,0.40199999999999997,0.06166666666666667,0.5363333333333333,0.27649999999999997,0.4073333333333333,0.25466666666666665,0.338,0.12916666666666665,0.4623333333333333,0.0,0.5376666666666666,0.5139666666666667,0.27666666666666667,0.3753333333333333,0.3483333333333334,-0.2534666666666667,0.0,0.0,0.0,16.0,0.045454545454545456,0.23076923076923078,0.08333333333333333,0.08571428571428572,0.09375,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.3818}",0.3818,v,0.045454545454545456,0.23076923076923078,0.08333333333333333,0.08571428571428572,0.09375,0.0,0.0,0.0,0.0,0.0,fairness.virtue
trapped,8.0,6.0,1.0,1.0,5.0,138.0,25.0,30.0,33.0,24.0,26.0,0.04425,0.525375,0.43024999999999997,-0.6894625,0.0,0.5623333333333334,0.43766666666666665,-0.6082166666666666,0.0,0.766,0.234,-0.9201,0.0,0.873,0.127,-0.7845,0.0792,0.5168,0.4039999999999999,-0.73258,0.0,0.0,0.0,21.0,0.32,0.2,0.030303030303030304,0.041666666666666664,0.19230769230769232,"{'neg': 1.0, 'neu': 0.0, 'pos': 0.0, 'compound': -0.5267}",-0.5267,v,0.0,0.0,0.0,0.0,0.0,0.32,0.2,0.030303030303030304,0.041666666666666664,0.19230769230769232,care.vice
special,22.0,19.0,18.0,15.0,11.0,1042.0,239.0,217.0,200.0,210.0,178.0,0.3960909090909091,0.10004545454545455,0.503909090909091,0.29695000000000005,0.42478947368421044,0.09031578947368421,0.4848947368421053,0.4435368421052631,0.43511111111111117,0.09505555555555555,0.46977777777777785,0.36580555555555555,0.3392,0.1168,0.5441333333333332,0.20682666666666663,0.44727272727272727,0.033545454545454545,0.5191818181818182,0.45845454545454545,0.0,0.0,0.0,85.0,0.09205020920502092,0.08755760368663594,0.09,0.07142857142857142,0.06179775280898876,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4019}",0.4019,a,0.09205020920502092,0.08755760368663594,0.09,0.07142857142857142,0.06179775280898876,0.0,0.0,0.0,0.0,0.0,care.virtue
backing,0.0,6.0,3.0,5.0,1.0,161.0,26.0,36.0,37.0,27.0,35.0,0.0,0.0,0.0,0.0,0.30866666666666664,0.10983333333333334,0.5815,0.10356666666666668,0.39733333333333337,0.18033333333333335,0.422,0.22666666666666666,0.454,0.2274,0.31880000000000003,0.30744000000000005,0.602,0.0,0.398,0.8779,0.0,0.0,0.0,15.0,0.0,0.16666666666666666,0.08108108108108109,0.18518518518518517,0.02857142857142857,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.0258}",0.0258,v,0.0,0.16666666666666666,0.08108108108108109,0.18518518518518517,0.02857142857142857,0.0,0.0,0.0,0.0,0.0,authority.virtue
swiftly,1.0,6.0,2.0,3.0,0.0,96.0,11.0,20.0,22.0,26.0,17.0,0.146,0.391,0.464,-0.5719,0.3965,0.0,0.6035,0.33705,0.3735,0.3535,0.273,0.04684999999999999,0.38466666666666666,0.09566666666666666,0.5196666666666667,0.15976666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.09090909090909091,0.3,0.09090909090909091,0.11538461538461539,0.0,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.296}",0.296,r,0.09090909090909091,0.3,0.09090909090909091,0.11538461538461539,0.0,0.0,0.0,0.0,0.0,0.0,fairness.virtue
fear,37.0,27.0,43.0,34.0,25.0,1156.0,213.0,229.0,241.0,241.0,232.0,0.050108108108108104,0.5314594594594596,0.4184324324324324,-0.6064513513513513,0.04837037037037037,0.4763703703703705,0.47522222222222216,-0.5565925925925926,0.07983720930232557,0.5136976744186046,0.4064883720930233,-0.5225767441860465,0.10097058823529412,0.4624411764705883,0.4365588235294117,-0.46334411764705896,0.09155999999999999,0.45368,0.4548,-0.5079880000000001,0.0,0.0,0.0,166.0,0.17370892018779344,0.11790393013100436,0.17842323651452283,0.14107883817427386,0.10775862068965517,"{'neg': 1.0, 'neu': 0.0, 'pos': 0.0, 'compound': -0.4939}",-0.4939,n,0.0,0.0,0.0,0.0,0.0,0.17370892018779344,0.11790393013100436,0.17842323651452283,0.14107883817427386,0.10775862068965517,loyalty.vice
helping,26.0,16.0,14.0,14.0,15.0,650.0,133.0,118.0,122.0,143.0,134.0,0.4241923076923077,0.08388461538461539,0.49192307692307696,0.32281538461538467,0.3515625,0.147625,0.5008124999999999,0.19066875,0.3851428571428571,0.09307142857142857,0.5218571428571429,0.27892857142857136,0.39842857142857147,0.04842857142857143,0.5531428571428572,0.4025285714285714,0.3937333333333333,0.13693333333333332,0.46933333333333327,0.3205799999999999,0.0,0.0,0.0,85.0,0.19548872180451127,0.13559322033898305,0.11475409836065574,0.0979020979020979,0.11194029850746269,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.296}",0.296,v,0.19548872180451127,0.13559322033898305,0.11475409836065574,0.0979020979020979,0.11194029850746269,0.0,0.0,0.0,0.0,0.0,care.virtue
playing,0.0,6.0,6.0,2.0,6.0,209.0,42.0,45.0,34.0,45.0,43.0,0.0,0.0,0.0,0.0,0.303,0.10483333333333333,0.5921666666666666,0.27585,0.322,0.08583333333333333,0.592,0.2969,0.2385,0.256,0.5055000000000001,-0.14590000000000003,0.35483333333333333,0.16933333333333334,0.4758333333333333,0.08363333333333334,0.0,0.0,0.0,20.0,0.0,0.13333333333333333,0.17647058823529413,0.044444444444444446,0.13953488372093023,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.2023}",0.2023,v,0.0,0.13333333333333333,0.17647058823529413,0.044444444444444446,0.13953488372093023,0.0,0.0,0.0,0.0,0.0,loyalty.virtue
hope,29.0,20.0,24.0,22.0,26.0,1541.0,332.0,299.0,312.0,296.0,302.0,0.5083793103448278,0.08989655172413794,0.40172413793103445,0.42670344827586226,0.40540000000000004,0.11900000000000002,0.47565,0.39136000000000004,0.4213333333333333,0.108375,0.4702916666666667,0.4070125,0.4988181818181818,0.05418181818181819,0.44686363636363635,0.4709318181818182,0.504923076923077,0.09703846153846156,0.3981538461538462,0.5122769230769231,0.0,0.0,0.0,121.0,0.08734939759036145,0.06688963210702341,0.07692307692307693,0.07432432432432433,0.08609271523178808,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4404}",0.4404,n,0.08734939759036145,0.06688963210702341,0.07692307692307693,0.07432432432432433,0.08609271523178808,0.0,0.0,0.0,0.0,0.0,care.virtue
loyal,5.0,2.0,8.0,6.0,0.0,152.0,30.0,29.0,37.0,24.0,32.0,0.45,0.221,0.329,0.13654000000000005,0.45299999999999996,0.1365,0.41000000000000003,0.59215,0.489625,0.12037500000000001,0.39,0.4031125,0.6223333333333333,0.0,0.37766666666666665,0.7466166666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.16666666666666666,0.06896551724137931,0.21621621621621623,0.25,0.0,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4767}",0.4767,a,0.16666666666666666,0.06896551724137931,0.21621621621621623,0.25,0.0,0.0,0.0,0.0,0.0,0.0,authority.virtue
reached,6.0,8.0,6.0,6.0,1.0,544.0,99.0,124.0,121.0,112.0,88.0,0.3838333333333333,0.12,0.49616666666666664,0.01846666666666667,0.5237499999999999,0.02675,0.44950000000000007,0.478175,0.531,0.0,0.4689999999999999,0.4166,0.2601666666666667,0.11349999999999999,0.6263333333333333,0.09965,0.135,0.0,0.865,0.1027,0.0,0.0,0.0,27.0,0.06060606060606061,0.06451612903225806,0.049586776859504134,0.05357142857142857,0.011363636363636364,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.1027}",0.1027,v,0.06060606060606061,0.06451612903225806,0.049586776859504134,0.05357142857142857,0.011363636363636364,0.0,0.0,0.0,0.0,0.0,fairness.virtue
litigation,2.0,6.0,1.0,8.0,3.0,300.0,48.0,51.0,41.0,73.0,91.0,0.046,0.263,0.6905,-0.1901,0.17616666666666667,0.36483333333333334,0.45916666666666667,-0.23920000000000008,0.0,0.205,0.795,-0.2023,0.166625,0.359,0.47437500000000005,-0.12962500000000002,0.114,0.23666666666666666,0.6493333333333333,-0.07556666666666667,0.0,0.0,0.0,20.0,0.041666666666666664,0.11764705882352941,0.024390243902439025,0.1095890410958904,0.03296703296703297,"{'neg': 1.0, 'neu': 0.0, 'pos': 0.0, 'compound': -0.2023}",-0.2023,n,0.0,0.0,0.0,0.0,0.0,0.041666666666666664,0.11764705882352941,0.024390243902439025,0.1095890410958904,0.03296703296703297,fairness.vice
enemies,12.0,7.0,10.0,9.0,13.0,277.0,57.0,53.0,52.0,52.0,63.0,0.08566666666666667,0.4833333333333334,0.4310833333333333,-0.5605333333333333,0.09857142857142856,0.4995714285714286,0.402,-0.39011428571428575,0.0365,0.5438,0.4196000000000001,-0.6983199999999999,0.18799999999999997,0.5058888888888888,0.3058888888888889,-0.5568111111111111,0.08800000000000001,0.5470769230769231,0.3649230769230769,-0.4974846153846154,0.0,0.0,0.0,51.0,0.21052631578947367,0.1320754716981132,0.19230769230769232,0.17307692307692307,0.20634920634920634,"{'neg': 1.0, 'neu': 0.0, 'pos': 0.0, 'compound': -0.4939}",-0.4939,n,0.0,0.0,0.0,0.0,0.0,0.21052631578947367,0.1320754716981132,0.19230769230769232,0.17307692307692307,0.20634920634920634,care.vice
gain,6.0,7.0,11.0,1.0,5.0,310.0,58.0,81.0,59.0,59.0,53.0,0.5558333333333333,0.1295,0.315,0.5760000000000001,0.4951428571428572,0.1142857142857143,0.39057142857142857,0.5994285714285714,0.4757272727272727,0.11636363636363636,0.40809090909090917,0.47029090909090915,0.531,0.0,0.469,0.5267,0.5032,0.1508,0.3462,0.4539000000000001,0.0,0.0,0.0,30.0,0.10344827586206896,0.08641975308641975,0.1864406779661017,0.01694915254237288,0.09433962264150944,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.5267}",0.5267,n,0.10344827586206896,0.08641975308641975,0.1864406779661017,0.01694915254237288,0.09433962264150944,0.0,0.0,0.0,0.0,0.0,loyalty.virtue
